score,MolW,cLogP,RotB
-56.0099,320.32,2.2599,7
-51.1001,266.41,3.9781,4
-60.1401,305.809,3.1179,5
-44.8998,347.444,1.36398,2
-43.1301,263.337,3.1313,5
-43.4701,359.346,0.08292,4
-55.19,356.499,3.0598,3
-59.1199,348.903,4.11402,4
-55.5901,287.403,3.00452,5
-52.2401,324.38,2.6975,1
-58.44,344.358,4.6819,7
-44.0999,323.458,2.0747,3
-52.6599,353.422,2.6273,2
-58.3199,337.464,2.2682,7
-48.8199,260.341,2.70742,5
-58.8,361.486,1.8747,6
-65.41,359.445,3.2729,6
-47.01,181.323,2.8107,5
-52.5699,347.459,1.4196,4
-43.3101,235.331,1.4689,5
-49.12,309.382,0.93,6
-46.9099,336.508,1.1188,6
-42.8699,272.37,0.4692,4
-42.1201,287.323,1.8091,4
-54.0299,349.862,3.01482,6
-47.8201,284.762,3.46928,5
-56.29,345.838,2.0786,5
-53.81,338.366,4.8265,4
-62.2101,325.433,3.98682,4
-32.58,162.196,0.7622,1
-58.5301,354.472,1.36922,9
-49.0099,321.383,1.82292,3
-37.46,249.276,2.6285,3
-61.0199,432.446,4.6306,4
-49.8901,367.287,4.7729,4
-52.4401,261.394,3.45262,5
-55.5899,313.449,2.6325,5
-66.3701,431.945,3.9775,7
-53.1601,334.37,1.46058,2
-57.64,355.482,2.8853,6
-56.6,263.425,4.30962,9
-61.4701,380.488,3.3547,7
-46.96,280.375,2.61662,3
-47.83,300.742,1.706,4
-48.7899,264.325,1.3225,4
-52.1401,391.516,0.7304,3
-61.2499,338.371,1.8733,7
-59.1198,354.495,1.1728,6
-42.84,313.366,2.3858,2
-47.77,320.389,2.3347,5
-59.15,331.456,2.9476,5
-62.0899,352.415,3.86932,3
-51.31,319.42,3.48272,4
-57.3301,392.406,2.1352,6
-50.8501,354.366,2.20112,3
-48.82,300.34,0.0479,7
-51.1399,285.347,2.89472,5
-54.74,408.34,3.1654,3
-51.29,311.466,3.2932,6
-57.8399,307.365,2.5393,4
-60.1302,427.48,3.64462,5
-58.6099,338.492,2.3413,6
-66.6201,353.43,1.3451,5
-59.2199,332.356,1.7252,8
-50.2399,318.377,1.83024,4
-55.5601,359.396,1.4259,2
-37.3799,299.298,1.1283,6
-63.2298,349.858,3.6959,8
-48.6199,275.4,2.3919,6
-52.2901,331.302,0.4327,3
-46.6801,257.487,4.3209,5
-53.6601,279.321,3.789,3
-48.4899,302.44,0.9113,4
-47.4101,283.416,0.552,5
-76.0098,438.491,3.6977,7
-41.7001,324.406,2.4225,5
-56.2799,337.782,3.1383,6
-55.7301,319.434,3.49792,6
-60.8102,363.408,3.8183,4
-59.7502,354.491,1.709,9
-60.9801,390.455,1.6405,3
-55.5599,320.481,0.4337,4
-40.4299,323.481,1.9662,2
-60.3601,319.408,3.46078,6
-60.0501,336.338,3.2776,5
-52.0601,318.352,1.7588,4
-61.3802,449.326,4.29342,6
-39.9599,313.111,1.352,2
-55.8398,443.525,1.687,4
-61.5098,356.492,1.219,7
-55.3601,359.39,0.1655,4
-48.9901,361.42,0.74534,4
-66.0899,352.438,2.4053,6
-60.7901,356.875,3.5127,4
-38.39,257.337,2.79644,3
-63.97,349.456,2.20198,7
-54.8999,390.513,0.956,4
-64.9399,362.477,2.7116,4
-45.2601,295.814,1.6347,3
-40.9301,351.31,1.21644,3
-60.3599,387.23,4.363,5
-60.6401,392.887,3.003,5
-49.7299,348.224,0.4454,6
-63.9998,424.994,3.706,10
-56.1699,334.466,3.26692,4
-57.97,403.32,3.912,6
-51.9401,368.796,3.7965,5
-54.3402,342.421,0.2248,9
-47.8901,258.325,1.6238,5
-36.2501,153.25,2.87472,2
-62.7599,432.362,3.8319,6
-55.3899,334.335,2.4175,3
-59.3899,413.518,3.43252,9
-55.3899,342.439,2.1305,5
-56.0999,334.366,3.3596,3
-46.9301,277.698,2.4307,4
-50.61,351.397,2.62908,7
-47.59,280.393,2.7864,5
-59.6799,334.416,1.8195,7
-49.38,354.451,0.3572,9
-59.76,367.415,3.4612,7
-54.8399,397.826,2.8435,4
-46.29,226.283,2.35164,1
-48.0701,234.303,0.72638,5
-43.24,242.344,2.4953,7
-51.8499,339.432,2.1119,6
-59.9298,356.373,1.1134,7
-49.71,383.491,3.0819,5
-62.88,348.468,2.82192,8
-39.65,313.769,2.96448,2
-58.0299,370.318,3.9754,6
-48.0801,294.358,2.55942,1
-59.4201,338.289,3.47292,3
-51.6201,360.498,3.0726,5
-48.0299,389.452,2.7729,3
-53.2601,389.2,1.8178,5
-45.76,371.842,1.7094,1
-57.4501,407.511,3.4322,7
-52.81,311.385,2.2014,3
-55.4,346.833,3.6763,4
-55.9701,349.765,4.1795,5
-53.36,342.317,3.0701,5
-56.5499,328.412,2.4139,6
-58.7202,420.457,3.46202,5
-56.99,406.772,3.2562,3
-71.4899,351.421,4.5031,4
-48.6501,316.691,2.0028,2
-63.9501,326.371,4.0788,5
-52.8198,348.34,2.4996,3
-49.6701,335.19,3.46118,3
-62.8501,358.488,4.8936,5
-53.05,284.246,3.0788,1
-60.7699,352.463,2.38638,6
-65.7301,396.528,2.7255,7
-53.54,336.277,2.3257,4
-53.72,336.48,1.3332,7
-40.8799,281.352,1.3556,3
-53.5899,360.433,0.6784,5
-55.3101,347.362,1.7695,5
-60.0799,358.442,2.9688,8
-53.5401,356.492,3.7018,8
-55.8299,358.486,2.2051,5
-43.2101,289.257,1.3857,1
-63.0301,399.491,2.6398,8
-65.3801,351.805,3.5341,7
-58.3299,382.451,3.00674,8
-51.8102,396.484,2.9401,3
-52.9501,289.383,1.2598,4
-63.9401,344.455,2.8214,6
-61.3098,435.572,2.50414,8
-60.3699,376.453,2.82032,5
-50.06,359.43,0.35578,6
-48.93,272.178,3.5434,3
-51.6299,288.342,3.40484,5
-56.8501,297.324,3.8507,4
-52.06,355.402,0.32778,6
-51.8601,316.38,3.68472,5
-52.7701,389.209,1.8825,1
-55.0699,345.35,0.8709,5
-54.4701,316.308,0.459,6
