score,MolW,cLogP,RotB,MolW.scaled,cLogP.scaled,RotB.scaled
-54.2899,342.443,0.5962,3,0.207104123290387,-1.41376293604674,-0.874665260760446
-46.8201,309.268,3.21354,3,-0.226035205018918,0.448655501483198,-0.874665260760446
-58.42,346.408,3.6234,7,0.258871943538959,0.740299239326207,1.17050104116387
-53.73,353.422,1.41842,2,0.350448107781958,-0.828696537448979,-1.38595683624153
-47.9,284.425,1.5973,3,-0.550390301723907,-0.70141104526785,-0.874665260760446
-52.1098,359.47,2.0713,3,0.429411985931609,-0.364127261201129,-0.874665260760446
-59.6599,397.884,1.50992,5,0.930952729192305,-0.763587958879137,0.147917890201714
-51.69,387.449,1.8334,7,0.794711315751232,-0.533409565482718,1.17050104116387
-57.0299,326.415,3.7256,3,-0.002160598763615,0.813021607958314,-0.874665260760446
-56.7599,370.544,1.6379,6,0.573996309117659,-0.672521337181123,0.659209465682794
-64.8,380.514,0.9882,7,0.70416659105417,-1.13482782348523,1.17050104116387
-58.83,347.459,2.3872,5,0.272594006358947,-0.139342562073119,0.147917890201714
-42.6499,314.363,0.9157,2,-0.159513882404421,-1.18641658792582,-1.38595683624153
-54.98,287.294,1.75928,5,-0.512932073150602,-0.586151071970113,0.147917890201714
-49.5499,311.813,3.0004,6,-0.192807184203629,0.296991649719525,0.659209465682794
-55.4402,360.42,2.79282,7,0.441815372876411,0.149284122511572,1.17050104116387
-53.3199,334.42,1.1367,4,0.10235425649233,-1.02915980252762,-0.363373685279366
-56.35,377.491,2.5085,6,0.664697708176128,-0.053029222395285,0.659209465682794
-55.8699,340.427,1.3395,5,0.180782830573837,-0.884853575926923,0.147917890201714
-62.7099,343.467,2.77294,5,0.220473668797206,0.135138127517381,0.147917890201714
-59.2998,360.527,1.8816,6,0.443212385932299,-0.499111931744287,0.659209465682794
-54.7101,344.433,2.2189,7,0.233085954890553,-0.259099652491745,1.17050104116387
-57.6499,395.301,4.1723,5,0.897228572899224,1.13087955382879,0.147917890201714
-63.6898,397.788,4.2047,4,0.92969933430104,1.15393439476499,-0.363373685279366
-51.6399,286.335,1.14552,4,-0.525452965866461,-1.02288376249499,-0.363373685279366
-53.6601,411.633,4.2271,3,1.11046237877556,1.16987354405422,-0.874665260760446
-67.4199,340.257,1.3629,4,0.178563277120556,-0.868202857472997,-0.363373685279366
-67.4,355.446,1.5747,6,0.37687385007278,-0.717492508390019,0.659209465682794
-1.8573,124.76,7,4,-2.63500796124177,3.14298368084454,-0.363373685279366
-60.73,380.423,2.02292,5,0.702978477146826,-0.398552977389205,0.147917890201714
-54.6601,342.834,2.8384,3,0.212209096232932,0.181717445038494,-0.874665260760446
-58.69,378.372,1.56,5,0.676200217542836,-0.727952575111075,0.147917890201714
-54.1101,347.26,1.2469,4,0.26999582319893,-0.950744880577933,-0.363373685279366
-57.9601,304.39,3.5762,6,-0.289723332931285,0.706713174752475,0.659209465682794
-55.8699,338.351,2.0546,3,0.153678166050246,-0.376010466251581,-0.874665260760446
-49.27,359.459,1.98572,6,0.429268367766984,-0.42502335031596,0.659209465682794
